mastar,verleden_tijd_enkelvoud,verleden_tijd_meervoud,voltooid_tijd,aile_kodu,aile_adi,betekenis_tr,betekenis_en
voorkomen (=gebeuren),voorkwam,voorkwamen,hebben voorkomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),olmak / meydana gelmek,to happen / to occur
voorkomen (=zich voordoen),kwam voor,kwamen voor,zijn voorgekomen,K13_aa-o-a,a/aa → o → a (staan/slaan tipi),görünmek / ortaya çıkmak,to appear / to present itself
voornemen,nam voor,namen voor,hebben voorgenomen,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),niyet etmek,to intend
voorschrijven,schreef voor,schreven voor,hebben voorgeschreven,K1_ij-ee-e,ij → ee → e (blijven tipi),kural koymak / reçete etmek,to prescribe / to stipulate
voorspellen,voorspelde,voorspelden,hebben voorspeld,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),tahmin etmek,to predict
vragen,vroeg,vroegen,hebben gevraagd,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),sormak,to ask
vriezen,vroor,vroren,heeft gevroren,K2_ie-oo-o,ie/ui → oo → o (bieden/sluiten tipi),donmak,to freeze
wassen,waste,wasten,hebben gewassen,ZWAK_REGELMATIG,Zayıf/karışık fiil (-de/-te ekiyle ama voltooid tijd düzensiz olabilir),yıkamak,to wash
wegen,woog,wogen,hebben gewogen,K5_e-ee-o,e → ee → o (wegen tipi),tartmak,to weigh
weten,wist,wisten,hebben geweten,K14_e-ie-o,e → ie → o (nadiren),bilmek,to know
winnen,won,wonnen,hebben gewonnen,K3_i-o-o,i/e → o → o (vinden/breken tipi),kazanmak,to win
worden,werd,werden,zijn geworden,MODAAL_ONREGELMATIG,Modal/yardımcı fiiller (kunnen mogen moeten zijn hebben worden zullen),olmak,to become
zeggen,zei,zeiden,hebben gezegd,K15_e-ei-e,e → ei → e (nadir kalıp),söylemek,to say
zien,zag,zagen,hebben gezien,DIGER_zien_zag_gezien,Kendine özgü (zien tipi tek fiil),görmek,to see
zijn,was,waren,zijn geweest,MODAAL_ONREGELMATIG,Modal/yardımcı fiiller (kunnen mogen moeten zijn hebben worden zullen),olmak,to be
zingen,zong,zongen,hebben gezongen,K3_i-o-o,i/e → o → o (vinden/breken tipi),şarkı söylemek,to sing
zitten,zat,zaten,hebben gezeten,K4_e-a-e_of_o,e → a → e/o (spreken/nemen tipi),oturmak,to sit
zoeken,zocht,zochten,hebben gezocht,K11_oe-ee-o,oe/ie → ee/o → o (roepen/genieten tipi),aramak,to look for / to search
zullen,zou,zouden,-,MODAAL_ONREGELMATIG,Modal/yardımcı fiiller (kunnen mogen moeten zijn hebben worden zullen),-ecek / -acak,will / shall
zwemmen,zwom,zwommen,hebben/zijn gezwommen,K3_i-o-o,i/e → o → o (vinden/breken tipi),yüzmek,to swim
